Date,Location,Temp_C
2011-06-01,Akron,21.135
2011-07-01,Akron,24.948
2011-08-01,Akron,22.271
2011-09-01,Akron,18.655
2011-10-01,Akron,11.297
2011-11-01,Akron,8.334
2011-12-01,Akron,2.3480000000000003
2012-01-01,Akron,-0.3439999999999998
2012-02-01,Akron,1.5269999999999997
2012-03-01,Akron,10.109
2012-04-01,Akron,9.195
2012-05-01,Akron,18.921
2012-06-01,Akron,21.108
2012-07-01,Akron,24.966
2012-08-01,Akron,21.94
2012-09-01,Akron,17.482000000000006
2012-10-01,Akron,11.558000000000002
2012-11-01,Akron,4.185
2012-12-01,Akron,2.938
2013-01-01,Akron,-1.086
2013-02-01,Akron,-2.213
2013-03-01,Akron,1.285
2013-04-01,Akron,9.691
2013-05-01,Akron,16.789
2013-06-01,Akron,20.579
2013-07-01,Akron,22.969
2013-08-01,Akron,21.023000000000003
2013-09-01,Akron,17.799
2011-06-01,Allentown,21.032
2011-07-01,Allentown,24.564
2011-08-01,Allentown,22.13
2011-09-01,Allentown,19.301
2011-10-01,Allentown,12.001
2011-11-01,Allentown,8.013
2011-12-01,Allentown,2.987
2012-01-01,Allentown,-0.0409999999999999
2012-02-01,Allentown,2.185
2012-03-01,Allentown,8.734
2012-04-01,Allentown,10.324000000000002
2012-05-01,Allentown,17.779
2012-06-01,Allentown,20.165
2012-07-01,Allentown,24.479
2012-08-01,Allentown,22.731
2012-09-01,Allentown,18.177
2012-10-01,Allentown,12.436
2012-11-01,Allentown,4.103
2012-12-01,Allentown,2.5860000000000003
2013-01-01,Allentown,-0.968
2013-02-01,Allentown,-1.3650000000000002
2013-03-01,Allentown,2.518
2013-04-01,Allentown,9.723
2013-05-01,Allentown,15.544
2013-06-01,Allentown,20.892
2013-07-01,Allentown,24.722
2013-08-01,Allentown,21.001
2013-09-01,Allentown,17.407999999999998
2011-06-01,Baltimore,23.731
2011-07-01,Baltimore,26.895000000000003
2011-08-01,Baltimore,24.262
2011-09-01,Baltimore,20.646
2011-10-01,Baltimore,12.853
2011-11-01,Baltimore,9.475
2011-12-01,Baltimore,4.8100000000000005
2012-01-01,Baltimore,2.382
2012-02-01,Baltimore,4.503
2012-03-01,Baltimore,11.47
2012-04-01,Baltimore,12.158
2012-05-01,Baltimore,20.116
2012-06-01,Baltimore,22.173
2012-07-01,Baltimore,26.629
2012-08-01,Baltimore,24.621
2012-09-01,Baltimore,19.972
2012-10-01,Baltimore,13.607
2012-11-01,Baltimore,5.487
2012-12-01,Baltimore,4.840999999999998
2013-01-01,Baltimore,1.842
2013-02-01,Baltimore,1.043
2013-03-01,Baltimore,4.303
2013-04-01,Baltimore,12.425
2013-05-01,Baltimore,17.134
2013-06-01,Baltimore,22.919
2013-07-01,Baltimore,25.658
2013-08-01,Baltimore,22.722
2013-09-01,Baltimore,19.643
2011-06-01,Cleveland,21.135
2011-07-01,Cleveland,24.948
2011-08-01,Cleveland,22.271
2011-09-01,Cleveland,18.655
2011-10-01,Cleveland,11.297
2011-11-01,Cleveland,8.334
2011-12-01,Cleveland,2.3480000000000003
2012-01-01,Cleveland,-0.3439999999999998
2012-02-01,Cleveland,1.5269999999999997
2012-03-01,Cleveland,10.109
2012-04-01,Cleveland,9.195
2012-05-01,Cleveland,18.921
2012-06-01,Cleveland,21.108
2012-07-01,Cleveland,24.966
2012-08-01,Cleveland,21.94
2012-09-01,Cleveland,17.482000000000006
2012-10-01,Cleveland,11.558000000000002
2012-11-01,Cleveland,4.185
2012-12-01,Cleveland,2.938
2013-01-01,Cleveland,-1.086
2013-02-01,Cleveland,-2.213
2013-03-01,Cleveland,1.285
2013-04-01,Cleveland,9.691
2013-05-01,Cleveland,16.789
2013-06-01,Cleveland,20.579
2013-07-01,Cleveland,22.969
2013-08-01,Cleveland,21.023000000000003
2013-09-01,Cleveland,17.799
2011-06-01,Newark,21.032
2011-07-01,Newark,24.564
2011-08-01,Newark,22.13
2011-09-01,Newark,19.301
2011-10-01,Newark,12.001
2011-11-01,Newark,8.013
2011-12-01,Newark,2.987
2012-01-01,Newark,-0.0409999999999999
2012-02-01,Newark,2.185
2012-03-01,Newark,8.734
2012-04-01,Newark,10.324000000000002
2012-05-01,Newark,17.779
2012-06-01,Newark,20.165
2012-07-01,Newark,24.479
2012-08-01,Newark,22.731
2012-09-01,Newark,18.177
2012-10-01,Newark,12.436
2012-11-01,Newark,4.103
2012-12-01,Newark,2.5860000000000003
2013-01-01,Newark,-0.968
2013-02-01,Newark,-1.3650000000000002
2013-03-01,Newark,2.518
2013-04-01,Newark,9.723
2013-05-01,Newark,15.544
2013-06-01,Newark,20.892
2013-07-01,Newark,24.722
2013-08-01,Newark,21.001
2013-09-01,Newark,17.407999999999998
